target_return,expected_return,volatility,sharpe_ratio
0.11773180655595568,0.11773180655642528,0.35216699067369583,0.27751552287584996
0.12155738352409298,0.12155738297468172,0.3208585499686181,0.3165176149571661
0.12538296049223027,0.12538295984074543,0.2944825987735461,0.35785802040474307
0.1292085374603676,0.12920853753259343,0.27446487172587347,0.3978962292911106
0.13303411442850488,0.13303411440791918,0.2622653398527021,0.43099143207944784
0.1368596913966422,0.13685969140012758,0.25582318463482756,0.4567986735328069
0.1406852683647795,0.1406852683655451,0.2503970782158354,0.4819755455034412
0.1445108453329168,0.14451084533837974,0.24598341479931365,0.5061757738421605
0.1483364223010541,0.14833642228422927,0.24263754012387573,0.5289223679843962
0.1521619992691914,0.15216199921813356,0.24040377845379313,0.5497500915674494
0.1559875762373287,0.15598757623967088,0.2391846871716664,0.5685463306523071
0.15981315320546602,0.1598131532035162,0.2382559639054679,0.5868191121502815
0.1636387301736033,0.1636387301764704,0.2375017088248256,0.6047903018770033
0.1674643071417406,0.1674643071457754,0.23692464102276672,0.6224101744301268
0.17128988410987792,0.1712898841157616,0.23653193343303178,0.6396171625536373
0.17511546107801523,0.17511546107750722,0.2363728437595654,0.656232156834768
0.17894103804615252,0.17894103803654432,0.23645795039948084,0.672174641487095
0.1827666150142898,0.1827666150177705,0.2367869900465664,0.687396782170173
0.18659219198242713,0.18659219197701757,0.23735894823997344,0.7018576430857386
0.19041776895056445,0.1904177689520068,0.2381720749211685,0.7155237195981629
0.19424334591870174,0.19424334583680913,0.23922440081714993,0.7283677803837044
0.19806892288683903,0.19806892281883282,0.24051291824112883,0.7403715531001454
0.20189449985497634,0.20189449985320507,0.24203055592263908,0.7515352727254179
0.20572007682311366,0.2057200768203512,0.24377727168511204,0.7618432823394894
0.20954565379125095,0.20954565379154552,0.24574662090934737,0.7713052293055389
0.21337123075938824,0.21337123074915693,0.24793329847789647,0.779932473517252
0.21719680772752553,0.21719680772049962,0.2503316092795979,0.7877423402022256
0.22102238469566285,0.2210223846772469,0.2529355334727142,0.7947573910129655
0.22484796166380017,0.2248479616527092,0.255738790114762,0.8010046561993365
0.22867353863193746,0.22867353863311582,0.25873490066588023,0.8065148462618439
0.23249911560007475,0.23249911558662134,0.26191724681519823,0.8113215840900886
0.23632469256821206,0.23632469255350547,0.2652791263149849,0.8154606642387976
0.24015026953634938,0.24015026953596347,0.26887790600117073,0.8187741150252967
0.24397584650448667,0.24397584650026224,0.27295775788410404,0.8205513125417774
0.24780142347262396,0.2478014244110095,0.27752357359853846,0.8208363039477998
0.25162700044076125,0.2516270014136572,0.2825517935937623,0.8197682926291311
0.2554525774088986,0.255452578416305,0.28801820190787497,0.8174920086877581
0.2592781543770359,0.25927815541895266,0.2938983491013237,0.8141527713599361
0.2631037313451732,0.26310373242160034,0.3001679213136645,0.8098924473930239
0.26692930831331046,0.2669293083129545,0.3068030435967271,0.8048463451279423
