k,lambda_risk,lambda_return,penalty,selected_count,selected_assets,expected_return,volatility,sharpe_like,energy
2,0.5,0.5,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.0919406634839417
2,0.5,0.5,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.09194066348394259
2,0.5,0.5,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.09194066348393815
2,0.5,1.0,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.31688645581155495
2,0.5,1.0,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.31688645581155317
2,0.5,1.0,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.3168864558115585
2,0.5,2.0,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.7667780404667797
2,0.5,2.0,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.7667780404667797
2,0.5,2.0,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.766778040466785
2,1.0,0.5,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,0.041064465359728075
2,1.0,0.5,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,0.041064465359728075
2,1.0,0.5,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,0.041064465359728075
2,1.0,1.0,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.18388132696788517
2,1.0,1.0,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.18388132696788517
2,1.0,1.0,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.1838813269678834
2,1.0,2.0,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.6337729116231099
2,1.0,2.0,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.6337729116231081
2,1.0,2.0,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.6337729116231046
2,2.0,1.0,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,0.08212893071945926
2,2.0,1.0,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,0.08212893071945704
2,2.0,1.0,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,0.0821289307194526
2,2.0,2.0,3.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.36776265393576724
2,2.0,2.0,5.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.36776265393576946
2,2.0,2.0,8.0,2,"AAPL,GOOGL",0.2249457923276127,0.25788091131728896,0.8722855490876024,-0.3677626539357721
2,2.0,0.5,3.0,2,"AAPL,MSFT",0.16102348720451246,0.2396982366781099,0.6717758521551014,0.29861847012825127
2,2.0,0.5,5.0,2,"AAPL,MSFT",0.16102348720451246,0.2396982366781099,0.6717758521551014,0.29861847012825127
2,2.0,0.5,8.0,2,"AAPL,MSFT",0.16102348720451246,0.2396982366781099,0.6717758521551014,0.2986184701282486
